id,datenstand,resolution
2619_1157,"2021","25"
2619_1158,"2021","25"
2619_1159,"2021","25"
2619_1160,"2021","25"
2619_1161,"2021","25"
2619_1162,"2021","25"
2619_1163,"2021","25"
2619_1164,"2021","25"
2619_1165,"2021","10"
2619_1166,"2021","10"
2619_1167,"2021","10"
2619_1168,"2021","10"
2619_1169,"2021","10"
2619_1170,"2021","10"
2619_1171,"2021","10"
2619_1172,"2021","10"
2619_1173,"2021","10"
2619_1174,"2021","10"
2619_1175,"2021","10"
2619_1176,"2021","10"
2619_1177,"2021","10"
2619_1178,"2021","10"
2619_1179,"2021","10"
2619_1180,"2021","10"
2619_1181,"2021","10"
2619_1182,"2021","10"
2619_1183,"2021","10"
2619_1184,"2021","10"
2619_1185,"2021","10"
2619_1186,"2021","10"
2619_1187,"2021","10"
2619_1188,"2021","10"
2619_1189,"2021","10"
2619_1190,"2021","10"
2619_1191,"2021","10"
2619_1192,"2021","10"
2619_1193,"2021","10"
2619_1194,"2021","10"
2619_1195,"2021","10"
2619_1196,"2021","10"
2619_1197,"2021","10"
2619_1198,"2021","10"
2619_1199,"2021","10"
2619_1200,"2021","10"
2619_1201,"2021","10"
2619_1202,"2021","10"
2619_1203,"2021","10"
2619_1204,"2021","10"
2619_1205,"2021","10"
2619_1206,"2021","10"
2620_1157,"2021","25"
2620_1158,"2021","25"
2620_1159,"2021","25"
2620_1160,"2021","25"
2620_1161,"2021","25"
2620_1162,"2021","25"
2620_1163,"2021","25"
2620_1164,"2021","25"
2620_1165,"2021","10"
2620_1166,"2021","10"
2620_1167,"2021","10"
2620_1168,"2021","10"
2620_1169,"2021","10"
2620_1170,"2021","10"
2620_1171,"2021","10"
2620_1172,"2021","10"
2620_1173,"2021","10"
2620_1174,"2021","10"
2620_1175,"2021","10"
2620_1176,"2021","10"
2620_1177,"2021","10"
2620_1178,"2021","10"
2620_1179,"2021","10"
2620_1180,"2021","10"
2620_1181,"2021","10"
2620_1182,"2021","10"
2620_1183,"2021","10"
2620_1184,"2021","10"
2620_1185,"2021","10"
2620_1186,"2021","10"
2620_1187,"2021","10"
2620_1188,"2021","10"
2620_1189,"2021","10"
2620_1190,"2021","10"
2620_1191,"2021","10"
2620_1192,"2021","10"
2620_1193,"2021","10"
2620_1194,"2021","10"
2620_1195,"2021","10"
2620_1196,"2021","10"
2620_1197,"2021","10"
2620_1198,"2021","10"
2620_1199,"2021","10"
2620_1200,"2021","10"
2620_1201,"2021","10"
2620_1202,"2021","10"
2620_1203,"2021","10"
2620_1204,"2021","10"
2620_1205,"2021","10"
2620_1206,"2021","10"
2621_1157,"2021","25"
2621_1158,"2021","25"
2621_1159,"2021","25"
2621_1160,"2021","25"
2621_1161,"2021","25"
2621_1162,"2021","25"
2621_1163,"2021","25"
2621_1164,"2021","25"
2621_1165,"2021","25"
2621_1166,"2021","10"
2621_1167,"2021","10"
2621_1168,"2021","10"
2621_1169,"2021","10"
2621_1170,"2021","10"
2621_1171,"2021","10"
2621_1172,"2021","10"
2621_1173,"2021","10"
2621_1174,"2021","10"
2621_1175,"2021","10"
2621_1176,"2021","10"
2621_1177,"2021","10"
2621_1178,"2021","10"
2621_1179,"2021","10"
2621_1180,"2021","10"
2621_1181,"2021","10"
2621_1182,"2021","10"
2621_1183,"2021","10"
2621_1184,"2021","10"
2621_1185,"2021","10"
2621_1186,"2021","10"
2621_1187,"2021","10"
2621_1188,"2021","10"
2621_1189,"2021","10"
2621_1190,"2021","10"
2621_1191,"2021","10"
2621_1192,"2021","10"
2621_1193,"2021","10"
2621_1194,"2021","10"
2621_1195,"2021","10"
2621_1196,"2021","10"
2621_1197,"2021","10"
2621_1198,"2021","10"
2621_1199,"2021","10"
2621_1200,"2021","10"
2621_1201,"2021","10"
2621_1202,"2021","10"
2621_1203,"2021","10"
2621_1204,"2021","10"
2621_1205,"2021","10"
2621_1206,"2021","10"
2622_1157,"2021","25"
2622_1158,"2021","25"
2622_1159,"2021","25"
2622_1160,"2021","25"
2622_1161,"2021","25"
2622_1162,"2021","25"
2622_1163,"2021","25"
2622_1164,"2021","25"
2622_1165,"2021","10"
2622_1166,"2021","10"
2622_1167,"2021","10"
2622_1168,"2021","10"
2622_1169,"2021","10"
2622_1170,"2021","10"
2622_1171,"2021","10"
2622_1172,"2021","10"
2622_1173,"2021","10"
2622_1174,"2021","10"
2622_1175,"2021","10"
2622_1176,"2021","10"
2622_1177,"2021","10"
2622_1178,"2021","10"
2622_1179,"2021","10"
2622_1180,"2021","10"
2622_1181,"2021","10"
2622_1182,"2021","10"
2622_1183,"2021","10"
2622_1184,"2021","10"
2622_1185,"2021","10"
2622_1186,"2021","10"
2622_1187,"2021","10"
2622_1188,"2021","10"
2622_1189,"2021","10"
2622_1190,"2021","10"
2622_1191,"2021","10"
2622_1192,"2021","10"
2622_1193,"2021","10"
2622_1194,"2021","10"
2622_1195,"2021","10"
2622_1196,"2021","10"
2622_1197,"2021","10"
2622_1198,"2021","10"
2622_1199,"2021","10"
2622_1200,"2021","10"
2622_1201,"2021","10"
2622_1202,"2021","10"
2622_1203,"2021","10"
2622_1204,"2021","10"
2622_1205,"2021","10"
2622_1206,"2021","10"
2623_1157,"2021","25"
2623_1158,"2021","25"
2623_1159,"2021","25"
2623_1160,"2021","25"
2623_1161,"2021","25"
2623_1162,"2021","25"
2623_1163,"2021","25"
2623_1164,"2021","25"
2623_1165,"2021","25"
2623_1166,"2021","10"
2623_1167,"2021","10"
2623_1168,"2021","10"
2623_1169,"2021","10"
2623_1170,"2021","10"
2623_1171,"2021","10"
2623_1172,"2021","10"
2623_1173,"2021","10"
2623_1174,"2021","10"
2623_1175,"2021","10"
2623_1176,"2021","10"
2623_1177,"2021","10"
2623_1178,"2021","10"
2623_1179,"2021","10"
2623_1180,"2021","10"
2623_1181,"2021","10"
2623_1182,"2021","10"
2623_1183,"2021","10"
2623_1184,"2021","10"
2623_1185,"2021","10"
2623_1186,"2021","10"
2623_1187,"2021","10"
2623_1188,"2021","10"
2623_1189,"2021","10"
2623_1190,"2021","10"
2623_1191,"2021","10"
2623_1192,"2021","10"
2623_1193,"2021","10"
2623_1194,"2021","10"
2623_1195,"2021","10"
2623_1196,"2021","10"
2623_1197,"2021","10"
2623_1198,"2021","10"
2623_1199,"2021","10"
2623_1200,"2021","10"
2623_1201,"2021","10"
2623_1202,"2021","10"
2623_1203,"2021","10"
2623_1204,"2021","10"
2623_1205,"2021","10"
2623_1206,"2021","10"
2624_1157,"2021","25"
2624_1158,"2021","25"
2624_1159,"2021","25"
2624_1160,"2021","25"
2624_1161,"2021","25"
2624_1162,"2021","25"
2624_1163,"2021","25"
2624_1164,"2021","25"
2624_1165,"2021","10"
2624_1166,"2021","10"
2624_1167,"2021","10"
2624_1168,"2021","10"
2624_1169,"2021","10"
2624_1170,"2021","10"
2624_1171,"2021","10"
2624_1172,"2021","10"
2624_1173,"2021","10"
2624_1174,"2021","10"
2624_1175,"2021","10"
2624_1176,"2021","10"
2624_1177,"2021","10"
2624_1178,"2021","10"
2624_1179,"2021","10"
2624_1180,"2021","10"
2624_1181,"2021","10"
2624_1182,"2021","10"
2624_1183,"2021","10"
2624_1184,"2021","10"
2624_1185,"2021","10"
2624_1186,"2021","10"
2624_1187,"2021","10"
2624_1188,"2021","10"
2624_1189,"2021","10"
2624_1190,"2021","10"
2624_1191,"2021","10"
2624_1192,"2021","10"
2624_1193,"2021","10"
2624_1194,"2021","10"
2624_1195,"2021","10"
2624_1196,"2021","10"
2624_1197,"2021","10"
2624_1198,"2021","10"
2624_1199,"2021","10"
2624_1200,"2021","10"
2624_1201,"2021","10"
2624_1202,"2021","10"
2624_1203,"2021","10"
2624_1204,"2021","10"
2624_1205,"2021","10"
2624_1206,"2021","10"
2625_1157,"2021","25"
2625_1158,"2021","25"
2625_1159,"2021","25"
2625_1160,"2021","25"
2625_1161,"2021","25"
2625_1162,"2021","25"
2625_1163,"2021","25"
2625_1164,"2021","25"
2625_1165,"2021","10"
2625_1166,"2021","10"
2625_1167,"2021","10"
2625_1168,"2021","10"
2625_1169,"2021","10"
2625_1170,"2021","10"
2625_1171,"2021","10"
2625_1172,"2021","10"
2625_1173,"2021","10"
2625_1174,"2021","10"
2625_1175,"2021","10"
2625_1176,"2021","10"
2625_1177,"2021","10"
2625_1178,"2021","10"
2625_1179,"2021","10"
2625_1180,"2021","10"
2625_1181,"2021","10"
2625_1182,"2021","10"
2625_1183,"2021","10"
2625_1184,"2021","10"
2625_1185,"2021","10"
2625_1186,"2021","10"
2625_1187,"2021","10"
2625_1188,"2021","10"
2625_1189,"2021","10"
2625_1190,"2021","10"
2625_1191,"2021","10"
2625_1192,"2021","10"
2625_1193,"2021","10"
2625_1194,"2021","10"
2625_1195,"2021","10"
2625_1196,"2021","10"
2625_1197,"2021","10"
2625_1198,"2021","10"
2625_1199,"2021","10"
2625_1200,"2021","10"
2625_1201,"2021","10"
